Domain,Age,Level of Study,Activity Level,Reputation,Accessibility,Moderation,Gender,Country,Recommended chat rooms,SAMPLE NOTTOINCLUDE,Unnamed: 11,Agriculture,Anthro,Business Analytics,CommunicationTechnology,Data Science,Early childhood,Finance,Unnamed: 19,Writing,Food science,Unnamed: 22,Unnamed: 23,Gender studies,Geology ,Health and Wellness,Hostpiatlity Management,Humanities,Information systems,International Business,International relations,Journalism,Legal  studies,Linguistics,Logistics and supply chain,Management,media and communication,Performing arts,public administration,Public health,social work,Sports science ,visual arts,Unnamed: 44,Unnamed: 45,Unnamed: 46,Domain.1
sports science,19,College,High,4.0,Medium,Fair,Male,US,Sports Psychology, Sports Psychology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
hospitality management,21,College,High,3.6,Medium,Fair,Female,Canada,Food and Beverage Management, Food and Beverage Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality Management
education,19,High School,High,4.0,Medium,Good,Male,US,Education,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education
journalism,24,High School,Low,4.1,Easy,Good,Female,UK,Broadcast Journalism, Broadcast Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journalism
international relations,29,College,Low,4.1,Medium,Fair,Female,India,Conflict Resolution and Peacebuilding, Conflict Resolution and Peacebuilding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
linguistics,25,College,Medium,3.6,Medium,Good,Male,UK,Phonetics and Phonology, Phonetics and Phonology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
sports science,19,High School,Medium,4.4,Easy,Good,Male,Canada,Performance Analysis in Sports, Performance Analysis in Sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
linguistics,19,College,High,4.2,Easy,Good,Female,Canada,Language Documentation and Preservation, Language Documentation and Preservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
gender studies,25,High School,Medium,4.5,Medium,Fair,Female,India,Gender and Education, Gender and Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender Studies
linguistics,28,High School,Medium,3.8,Medium,Fair,Female,Canada,Psycholinguistics, Psycholinguistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
linguistics,27,High School,High,4.6,Easy,Good,Female,Canada,Sociolinguistic Variation, Sociolinguistic Variation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
anthropology,19,High School,High,4.7,Easy,Good,Male,India,Ethnohistory, Ethnohistory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
international business,27,College,High,3.8,Medium,Good,Female,Australia,International Negotiations and Diplomacy, International Negotiations and Diplomacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Business
logistics and supply chain management,29,High School,Medium,4.1,Easy,Good,Male,UK,Demand Forecasting and Planning, Demand Forecasting and Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
data science,19,High School,High,4.4,Easy,Good,Male,US,Statistical Analysis, Statistical Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
finance,22,College,Low,4.8,Medium,Fair,Female,India,Investment Analysis and Portfolio Management, Investment Analysis and Portfolio Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
agriculture,19,College,Medium,4.4,Medium,Good,Male,India,Soil Science, Soil Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
performing arts,19,College,Medium,4.1,Easy,Good,Male,Australia,Media Ethics and Law, Media Ethics and Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
information systems,25,College,High,4.9,Medium,Fair,Female,India,Data Warehousing and Business Intelligence, Data Warehousing and Business Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Systems
management,19,High School,Low,4.1,Medium,Fair,Female,US,Team Building and Team Management, Team Building and Team Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
public health,18,High School,Low,4.9,Medium,Fair,Male,India,Health Equity and Social Determinants of Health, Health Equity and Social Determinants of Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Health
journalism,24,High School,Low,3.9,Medium,Fair,Male,Canada,Science and Health Journalism, Science and Health Journalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journalism
humanities,19,College,Low,4.5,Medium,Good,Male,Canada,Anthropology, Anthropology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
communications technology,29,College,Medium,4.3,Easy,Good,Male,UK,Human-Computer Interaction, Human-Computer Interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
hospitality management,21,High School,Low,4.9,Easy,Good,Female,US,Hospitality Law and Ethics, Hospitality Law and Ethics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality Management
public health,19,College,Medium,4.6,Medium,Fair,Male,India,Public Health Surveillance, Public Health Surveillance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Health
legal studies,27,College,Low,4.5,Medium,Good,Male,India,Legal System and Institutions, Legal System and Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
business analytics,24,High School,Low,3.5,Easy,Good,Female,India,Financial Analytics, Financial Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business Analytics
food science,19,High School,Low,4.0,Easy,Good,Male,US,Food Microbiology, Food Microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
communications technology,24,College,Medium,4.2,Easy,Good,Female,Australia,Telecommunication Systems, Telecommunication Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
visual arts,19,College,High,3.9,Easy,Fair,Male,Australia,Art Exhibitions and Curation, Art Exhibitions and Curation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Arts
sports science,22,College,Low,4.3,Easy,Good,Male,Canada,Biomechanics in Sports, Biomechanics in Sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
food science,18,College,Medium,4.8,Easy,Good,Male,UK,Food Regulations and Compliance, Food Regulations and Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
anthropology,23,College,Medium,4.1,Medium,Good,Female,Australia,Psychological Anthropology, Psychological Anthropology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
food science,28,High School,Low,4.0,Medium,Fair,Male,Australia,Food Supply Chain and Distribution, Food Supply Chain and Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
media and communication studies,22,High School,High,4.2,Easy,Good,Female,Canada,Media Psychology, Media Psychology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
sports science,19,College,High,4.8,Medium,Good,Female,Canada,Performance Analysis in Sports, Performance Analysis in Sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
public health,19,High School,Low,3.6,Easy,Good,Female,India,Occupational Health and Safety, Occupational Health and Safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Health
media and communication studies,19,College,Medium,5.0,Easy,Good,Male,US,Communication Theory, Communication Theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
hospitality management,28,College,High,3.7,Easy,Good,Female,US,Human Resource Management in Hospitality, Human Resource Management in Hospitality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality Management
communications technology,28,High School,Medium,4.4,Easy,Good,Female,Canada,Human-Computer Interaction, Human-Computer Interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
legal studies,18,High School,Medium,5.0,Easy,Fair,Female,US,Constitutional Law, Constitutional Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
visual arts,22,High School,Medium,4.3,Medium,Good,Female,Australia,Typography, Typography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Arts
sports science,27,College,Medium,3.9,Easy,Fair,Male,US,Strength and Conditioning, Strength and Conditioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
environmental science,23,College,High,4.1,Easy,Good,Male,Australia,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Science
international relations,29,College,Medium,4.3,Easy,Fair,Male,Canada,International Political Economy, International Political Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
geology,19,College,Low,4.8,Easy,Good,Female,India,Stratigraphy, Stratigraphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geology
data science,23,College,Medium,4.8,Easy,Good,Female,US,Big Data Analytics, Big Data Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
public administration,19,High School,Low,4.7,Medium,Fair,Female,Australia,Intergovernmental Relations, Intergovernmental Relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Administration
international business,22,College,Medium,4.3,Easy,Good,Female,India,Cultural Intelligence in International Business, Cultural Intelligence in International Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Business
international business,28,College,High,3.6,Medium,Fair,Female,UK,International Marketing, International Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Business
data science,26,High School,Medium,3.9,Medium,Good,Male,Canada,Model Evaluation and Validation, Model Evaluation and Validation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
management,23,College,High,4.7,Medium,Good,Male,Australia,Project Management, Project Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
agriculture,19,High School,High,4.4,Easy,Fair,Male,US,Agricultural Extension and Education, Agricultural Extension and Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
food science,29,College,Medium,3.6,Easy,Fair,Female,Canada,Food Sensory Evaluation, Food Sensory Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
humanities,21,High School,Medium,4.7,Easy,Good,Male,India,Postcolonial Studies, Postcolonial Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
performing arts,28,College,Medium,3.7,Medium,Fair,Male,UK,Digital Media, Digital Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
early childhood education,29,High School,Medium,3.7,Medium,Fair,Male,UK,Science and Discovery, Science and Discovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
international business,29,High School,High,4.3,Medium,Good,Female,Australia,International Business Analytics, International Business Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Business
public administration,29,High School,Low,4.5,Easy,Fair,Female,US,Public Administration and Nonprofit Management, Public Administration and Nonprofit Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Administration
social work,29,College,Medium,4.9,Easy,Fair,Male,India,Social Support Networks, Social Support Networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Work
linguistics,26,High School,Medium,4.5,Easy,Fair,Female,Canada,Psycholinguistics, Psycholinguistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
gender studies,27,College,Low,4.8,Easy,Good,Male,US,Gender and Technology, Gender and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender Studies
media and communication studies,21,College,High,4.2,Medium,Fair,Male,UK,Media and Cultural Studies, Media and Cultural Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
writing,25,High School,Medium,4.1,Medium,Fair,Male,Canada,Creative Writing, Creative Writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Writing
social work,19,High School,Low,3.9,Medium,Good,Male,US,Social Epidemiology, Social Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Work
legal studies,29,College,Medium,4.6,Medium,Good,Male,Canada,Civil Law, Civil Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
food science,21,High School,Medium,3.8,Easy,Good,Male,India,Food Processing and Preservation, Food Processing and Preservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
agriculture,29,High School,Low,3.8,Medium,Good,Female,India,Precision Agriculture, Precision Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
environmental science,24,High School,High,3.9,Easy,Fair,Male,India,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Science
logistics and supply chain management,19,College,Medium,4.9,Medium,Good,Female,UK,Transportation and Freight Management, Transportation and Freight Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
linguistics,24,High School,High,4.0,Easy,Good,Female,UK,Corpus Linguistics, Corpus Linguistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
environmental science,25,College,Low,4.3,Medium,Fair,Male,Canada,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Science
business analytics,26,College,High,3.7,Medium,Fair,Female,India,Machine Learning in Business Analytics, Machine Learning in Business Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business Analytics
legal studies,29,High School,Medium,4.1,Medium,Good,Male,India,Business Law, Business Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
health and wellness,19,College,Medium,3.7,Medium,Fair,Male,UK,Holistic Health, Holistic Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness
business analytics,28,High School,Medium,4.8,Medium,Fair,Female,Australia,Sentiment Analysis, Sentiment Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business Analytics
food science,29,College,Medium,4.6,Medium,Fair,Female,US,Food Sensory Science, Food Sensory Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
agriculture,27,High School,High,4.5,Easy,Fair,Male,Canada,Food Science and Technology, Food Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
early childhood education,28,High School,High,4.7,Medium,Good,Male,India,Sensory Play, Sensory Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
public administration,29,College,Medium,4.7,Easy,Fair,Male,India,Social Equity and Inclusion in Public Administration, Social Equity and Inclusion in Public Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Administration
social work,19,College,High,3.7,Easy,Good,Female,UK,Social Cohesion and Health, Social Cohesion and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Work
media and communication studies,26,High School,Medium,4.0,Easy,Fair,Male,India,Mass Communication, Mass Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
business analytics,22,College,Medium,4.9,Easy,Fair,Male,India,Business Intelligence, Business Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business Analytics
business analytics,23,High School,Medium,5.0,Easy,Fair,Male,Australia,Performance Measurement and Analytics, Performance Measurement and Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business Analytics
education,26,College,Low,3.9,Medium,Good,Female,UK,Education,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education
finance,29,College,Low,3.5,Medium,Good,Male,Australia,Financial Management, Financial Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
logistics and supply chain management,25,High School,High,4.1,Easy,Good,Female,US,E-Commerce and Omni-channel Logistics, E-Commerce and Omni-channel Logistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
business analytics,29,High School,High,4.5,Easy,Good,Male,US,Predictive Modeling, Predictive Modeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business Analytics
writing,23,College,Low,4.4,Medium,Good,Female,US,Journalism and News Writing, Journalism and News Writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Writing
legal studies,18,College,Low,4.4,Easy,Good,Male,Australia,Property Law, Property Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
data science,28,College,Low,4.1,Easy,Fair,Male,UK,Data Wrangling, Data Wrangling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
international relations,19,College,High,3.7,Medium,Fair,Male,Australia,Conflict Resolution and Peacebuilding, Conflict Resolution and Peacebuilding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
environmental science,27,High School,High,3.9,Easy,Good,Female,India,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Science
sports science,27,High School,Medium,3.8,Medium,Fair,Male,India,Sports Psychology and Mental Skills Training, Sports Psychology and Mental Skills Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
finance,29,High School,High,4.9,Medium,Fair,Female,Australia,Derivatives and Risk Hedging, Derivatives and Risk Hedging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
business analytics,18,College,Medium,4.3,Medium,Good,Male,Australia,Decision Support Systems, Decision Support Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business Analytics
legal studies,19,High School,Low,4.8,Easy,Fair,Male,Australia,Criminal Law, Criminal Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
information systems,27,College,High,4.7,Medium,Fair,Male,Australia,Web Development and E-commerce, Web Development and E-commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Systems
linguistics,29,College,Medium,4.2,Medium,Good,Male,US,Language Documentation and Preservation, Language Documentation and Preservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
hospitality management,19,College,High,3.8,Easy,Good,Male,Australia,Food and Beverage Management, Food and Beverage Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality Management
sports science,18,College,Low,4.7,Medium,Good,Female,UK,Biomechanics in Sports, Biomechanics in Sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
environmental science,22,College,Low,4.8,Easy,Good,Female,India,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Science
media and communication studies,27,High School,Low,4.8,Medium,Fair,Female,India,Communication Theory, Communication Theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
visual arts,23,High School,High,4.6,Medium,Fair,Male,US,Drawing and Sketching, Drawing and Sketching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Arts
data science,23,High School,Medium,4.1,Medium,Good,Male,India,Time Series Analysis, Time Series Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
anthropology,23,College,Low,4.4,Medium,Good,Male,US,Linguistic Anthropology, Linguistic Anthropology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
information systems,28,College,Medium,3.9,Easy,Fair,Male,UK,Emerging Technologies in Information Systems, Emerging Technologies in Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Systems
environmental science,29,High School,Low,3.8,Medium,Good,Female,Australia,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Science
visual arts,18,High School,High,3.7,Medium,Fair,Male,US,Collage, Collage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Arts
performing arts,24,College,High,3.7,Easy,Fair,Male,India,Media Convergence, Media Convergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
education,29,College,Low,4.8,Medium,Good,Male,US,Education,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education
writing,29,High School,Low,4.4,Easy,Good,Female,Australia,Writing for the Web, Writing for the Web,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Writing
hospitality management,22,College,Medium,4.8,Easy,Good,Male,US,Hospitality Marketing and Sales, Hospitality Marketing and Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality Management
education,26,High School,Low,4.1,Easy,Good,Male,US,Education,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education
hospitality management,29,College,Medium,4.3,Easy,Good,Female,Australia,Cultural Diversity and Inclusion in Hospitality, Cultural Diversity and Inclusion in Hospitality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality Management
communications technology,25,High School,High,3.8,Easy,Good,Male,UK,Mobile Communication, Mobile Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
sports science,23,College,Low,5.0,Easy,Fair,Male,Canada,Biomechanics in Sports, Biomechanics in Sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
public health,21,College,Medium,4.0,Easy,Fair,Male,Australia,Emergency Preparedness and Response, Emergency Preparedness and Response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Health
hospitality management,25,High School,Low,5.0,Medium,Fair,Male,Australia,Restaurant Management, Restaurant Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality Management
health and wellness,26,College,Medium,3.9,Medium,Good,Female,UK,Aging and Gerontology, Aging and Gerontology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness
humanities,29,College,Medium,3.8,Easy,Fair,Female,US,Linguistics, Linguistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
public health,26,College,High,4.6,Medium,Good,Female,Canada,Health Equity and Social Determinants of Health, Health Equity and Social Determinants of Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Health
logistics and supply chain management,29,College,Medium,4.4,Medium,Fair,Male,Australia,Supply Chain Collaboration and Integration, Supply Chain Collaboration and Integration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
media and communication studies,28,College,Medium,3.8,Easy,Good,Female,UK,Broadcast Media, Broadcast Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
sports science,23,High School,Medium,4.8,Easy,Good,Female,Australia,Sports Coaching and Athlete Development, Sports Coaching and Athlete Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
information systems,27,College,Medium,3.6,Easy,Fair,Female,Australia,Information Security and Privacy, Information Security and Privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Systems
data science,23,High School,Low,3.9,Medium,Good,Male,US,Exploratory Data Analysis, Exploratory Data Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
social work,24,High School,Low,4.8,Medium,Good,Female,Canada,Social Determinants of Health, Social Determinants of Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Work
journalism,24,College,Medium,4.8,Easy,Fair,Female,UK,Media Law and Regulations, Media Law and Regulations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journalism
finance,26,College,Low,4.4,Easy,Fair,Female,Australia,Managerial Accounting, Managerial Accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
agriculture,28,High School,Low,4.3,Easy,Fair,Male,India,Agribusiness Management, Agribusiness Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
humanities,24,High School,High,3.6,Medium,Fair,Female,India,Anthropology, Anthropology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
performing arts,29,High School,High,4.9,Medium,Fair,Male,US,Media Research Methods, Media Research Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
management,19,College,Low,3.8,Medium,Good,Male,Australia,Conflict Resolution and Negotiation, Conflict Resolution and Negotiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
public administration,26,College,High,3.6,Medium,Fair,Female,US,Public Service Delivery and Citizen Engagement, Public Service Delivery and Citizen Engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Administration
finance,19,College,High,5.0,Medium,Fair,Male,UK,Financial Management, Financial Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
data science,18,College,Low,4.6,Medium,Fair,Male,Canada,Time Series Analysis, Time Series Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
visual arts,28,High School,High,4.4,Easy,Good,Female,US,Installation Art, Installation Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Arts
visual arts,23,College,High,4.6,Medium,Fair,Male,Australia,Drawing and Sketching, Drawing and Sketching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Arts
health and wellness,19,College,High,4.7,Easy,Good,Male,UK,Holistic Health, Holistic Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness
business analytics,18,College,Low,4.6,Medium,Good,Female,Canada,Sentiment Analysis, Sentiment Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business Analytics
food science,19,College,High,3.6,Medium,Fair,Female,UK,Sensory Evaluation of Food, Sensory Evaluation of Food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
gender studies,19,High School,Low,4.5,Medium,Fair,Female,Canada,Intersectionality, Intersectionality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender Studies
humanities,18,High School,Medium,4.7,Medium,Good,Female,India,Visual Arts, Visual Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
anthropology,18,High School,Low,4.8,Easy,Fair,Male,US,Physical Anthropology, Physical Anthropology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
anthropology,19,College,High,4.5,Medium,Good,Male,Australia,Medical Anthropology, Medical Anthropology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
humanities,29,High School,High,4.7,Medium,Good,Male,India,Media and Communication Studies, Media and Communication Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
media and communication studies,19,College,High,3.6,Easy,Fair,Female,Australia,Media Literacy, Media Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
